kor_name,eng_name,team,release,end_dt
아드리안 샘슨,adrian david sampson,롯데,0,2019-12-31
웨스 파슨스,wes parsons,nc,0,2020-12-31
아리엘 미란다,aríel miranda,두산,0,2020-12-31
워커 로켓,walker lockett,두산,0,2020-12-31
조쉬 스미스,josh smith,시즌중 방출,1,2020-12-31
다니엘 멩덴,daniel mengden,kia,0,2020-12-31
앤더슨 프랑코,enderson franco,롯데,0,2020-12-31
아티 르위키,artie lewicki,ssg,0,2020-12-31
월머 폰트,wilmer font,ssg,0,2020-12-31
라이언 카펜터,ryan carpenter,한화,0,2020-12-31
앤드류 수아레즈,andrew suárez,엘지,0,2020-12-31
몽고메리,mike montgomery,삼성,0,2020-12-31
웨스 벤자민,"wes benjamin, wesley scott benjamin",kt,0,2021-12-31
브랜든 와델,"brandon waddell, brandon david waddell",두산,0,2021-12-31
로버트 스탁,robert anthony stock,두산,0,2021-12-31
알버트 수아레즈,albert suárez,삼성,0,2021-12-31
애덤 플럿코,adam plutko,엘지,0,2021-12-31
타일러 애플러,tyler eppler,키움,0,2021-12-31
이반 노바,iván manuel nova,시즌중 방출,1,2021-12-31
숀 모리만도,shawn morimando,SSG,0,2021-12-31
맷 더모디,"matt dermody, matthew phillip dermody",Nc,0,2021-12-31
글렌 스파크맨,glenn sparkman,롯데,0,2021-12-31
찰리 반즈,charlie barnes,롯데,0,2021-12-31
션 놀린,"sean nolin, sean patrick nolin",기아,0,2021-12-31
로니 윌리엄스,ronnie ellis williams,시즌중 방출,1,2021-12-31
펠릭스 페냐,félix peña,한화,0,2021-12-31
예프리 라미레즈,yefry ramírez,한화,0,2021-12-31
